City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Chokurdakh,RU,2021-03-27 20:23:05,70.6333,147.9167,-3.62,89,100,5.53
232,Damaturu,NG,2021-03-27 20:23:05,11.747,11.9608,75.83,16,3,9.66
233,Samarai,PG,2021-03-27 20:23:07,-10.6167,150.6667,82.74,78,43,13.58
234,Viedma,AR,2021-03-27 20:20:26,-40.8135,-62.9967,74.08,16,0,11.21
235,Kytmanovo,RU,2021-03-27 20:22:06,53.4593,85.4479,34.0,96,100,10.78
236,Cabo San Lucas,MX,2021-03-27 20:20:02,22.8909,-109.9124,78.8,43,20,6.91
237,Kalmar,SE,2021-03-27 20:23:08,56.6616,16.3616,39.99,87,75,17.27
238,Ust-Kulom,RU,2021-03-27 20:23:08,61.6864,53.6902,12.87,96,28,3.67
239,Havre-Saint-Pierre,CA,2021-03-27 20:23:08,50.2334,-63.5986,30.2,31,1,5.75
240,Port Moresby,PG,2021-03-27 20:19:35,-9.4431,147.1797,75.2,100,20,3.44
241,Yerbogachen,RU,2021-03-27 20:22:07,61.2767,108.0108,10.33,97,99,4.72
242,Mwene-Ditu,CD,2021-03-27 20:23:09,-7.0,23.45,66.63,94,71,0.87
243,Port Alfred,ZA,2021-03-27 20:23:09,-33.5906,26.891,67.15,65,67,15.46
244,Meulaboh,ID,2021-03-27 20:20:20,4.1363,96.1285,75.67,90,86,3.87
245,Nuuk,GL,2021-03-27 20:23:09,64.1835,-51.7216,-0.4,65,20,29.93
246,Amapa,BR,2021-03-27 20:23:10,1.0,-52.0,73.51,97,100,3.51
247,Malinovskiy,RU,2021-03-27 20:23:10,61.1953,62.8397,20.52,95,89,5.75
248,Tomino,ES,2021-03-27 20:23:11,41.9877,-8.755,57.0,54,0,6.91
249,Idritsa,RU,2021-03-27 20:23:11,56.3316,28.8988,38.26,90,69,7.2
250,Urusha,RU,2021-03-27 20:23:11,54.05,122.9,24.57,96,100,5.86
251,Bathsheba,BB,2021-03-27 20:23:12,13.2167,-59.5167,80.6,61,40,18.41
252,Klyuchi,RU,2021-03-27 20:23:12,52.2667,79.1667,33.57,89,100,11.1
253,Mamallapuram,IN,2021-03-27 20:23:12,12.6264,80.1722,80.6,78,40,3.44
254,Alice Springs,AU,2021-03-27 20:23:13,-23.7,133.8833,68.0,77,15,4.61
255,Catemaco,MX,2021-03-27 20:23:13,18.4167,-95.1167,95.0,34,20,11.5
256,Tocopilla,CL,2021-03-27 20:23:13,-22.092,-70.1979,70.38,71,12,5.3
257,Lasa,IT,2021-03-27 20:22:56,46.6166,10.7002,57.2,75,0,4.61
258,Stornoway,GB,2021-03-27 20:23:14,58.2093,-6.3865,45.0,87,90,42.57
259,Paita,PE,2021-03-27 20:23:14,-5.0892,-81.1144,87.8,45,0,10.36
260,Lakes Entrance,AU,2021-03-27 20:23:15,-37.8811,147.981,50.0,97,64,7.14
261,Hambantota,LK,2021-03-27 20:23:15,6.1241,81.1185,77.83,77,87,3.53
262,Krasnyy Chikoy,RU,2021-03-27 20:23:15,50.3643,108.7512,18.84,93,97,6.38
263,Richards Bay,ZA,2021-03-27 20:19:31,-28.783,32.0377,70.99,85,52,17.83
264,Namibe,AO,2021-03-27 20:18:58,-15.1961,12.1522,74.55,80,100,7.45
265,Araci,BR,2021-03-27 20:23:16,-11.3333,-38.9667,91.2,25,12,9.06
266,Avera,US,2021-03-27 20:23:16,33.194,-82.5271,82.4,65,40,11.5
267,Ardesen,TR,2021-03-27 20:23:17,41.1911,40.9875,44.6,81,75,8.05
268,Moose Factory,CA,2021-03-27 20:23:17,51.2585,-80.6094,26.6,63,1,9.22
269,Upernavik,GL,2021-03-27 20:23:17,72.7868,-56.1549,-23.49,86,18,4.45
270,Ferme-Neuve,CA,2021-03-27 20:23:17,46.7001,-75.4493,39.2,65,86,4.61
271,Kavieng,PG,2021-03-27 20:23:18,-2.5744,150.7967,81.84,76,100,14.25
272,Dunedin,NZ,2021-03-27 20:19:55,-45.8742,170.5036,61.0,85,100,3.49
273,Honiara,SB,2021-03-27 20:21:01,-9.4333,159.95,78.42,82,15,5.19
274,Pangkalanbuun,ID,2021-03-27 20:23:18,-2.6833,111.6167,73.87,98,59,1.07
