City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Hobart,AU,-42.8794,147.3294,55.4,50,75,12.66,broken clouds
104,El Rosario,MX,24.2556,-107.1828,69.8,43,40,5.75,scattered clouds
105,Victoria,HK,22.2855,114.1577,77.0,86,3,7.07,clear sky
106,Nandura,IN,20.8333,76.45,92.93,10,5,3.78,clear sky
107,Port Elizabeth,ZA,-33.918,25.5701,66.2,68,0,16.11,clear sky
108,Havoysund,NO,70.9963,24.6622,37.4,70,40,10.36,light rain
109,Lorengau,PG,-2.0226,147.2712,81.3,80,93,9.04,overcast clouds
110,Januaria,BR,-15.4833,-44.3667,95.29,22,35,2.39,scattered clouds
111,Lugus,PH,5.7036,120.8203,82.54,79,100,11.12,overcast clouds
112,Harindanga,IN,22.0383,88.3214,82.4,69,0,9.22,haze
113,Dunedin,NZ,-45.8742,170.5036,54.0,95,91,4.0,overcast clouds
114,Saskylakh,RU,71.9167,114.0833,-4.11,99,97,2.04,overcast clouds
115,Butaritari,KI,3.0707,172.7902,80.46,80,23,11.79,light rain
116,Narsaq,GL,60.9167,-46.05,24.8,54,0,4.61,clear sky
117,Bengkulu,ID,-3.8004,102.2655,78.91,86,97,3.65,light rain
118,Bonavista,CA,48.6499,-53.1147,28.99,59,100,4.61,overcast clouds
119,Bryan,US,30.6744,-96.37,62.01,51,75,11.5,broken clouds
120,Itarema,BR,-2.9248,-39.9167,83.19,71,47,7.02,scattered clouds
121,Tilichiki,RU,60.4667,166.1,-4.74,89,93,8.68,overcast clouds
122,Puerto Carreno,CO,6.189,-67.4859,93.31,39,100,10.16,overcast clouds
123,Marawi,PH,7.9986,124.2928,79.0,87,97,5.01,overcast clouds
124,Henties Bay,NA,-22.116,14.2845,64.99,83,7,4.0,clear sky
125,Mount Isa,AU,-20.7333,139.5,80.6,29,1,14.97,clear sky
126,Rio Gallegos,AR,-51.6226,-69.2181,53.6,32,0,28.77,clear sky
127,Mitu,CO,1.1983,-70.1733,73.2,97,98,4.7,moderate rain
128,Inhambane,MZ,-23.865,35.3833,80.6,61,20,9.22,few clouds
129,Krishnarajasagara,IN,12.4089,76.5797,80.6,57,20,9.22,few clouds
130,Iisalmi,FI,63.5592,27.1907,46.4,57,40,9.22,scattered clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,40,10.36,scattered clouds
132,Saint George,US,37.1041,-113.5841,48.2,43,1,5.75,clear sky
133,Basco,PH,20.4487,121.9702,79.05,81,5,8.16,clear sky
134,San Patricio,US,28.017,-97.5169,64.99,72,90,19.57,overcast clouds
135,Coahuayana,MX,18.7333,-103.6833,78.8,38,20,3.78,few clouds
136,Piripiri,BR,-4.2733,-41.7769,83.25,74,66,1.48,broken clouds
137,Sao Filipe,CV,14.8961,-24.4956,69.91,74,3,15.12,clear sky
138,Sao Francisco,BR,-15.9486,-44.8644,93.43,26,65,3.0,broken clouds
139,Bredasdorp,ZA,-34.5322,20.0403,68.0,64,100,20.71,overcast clouds
140,Oriximina,BR,-1.7656,-55.8661,85.84,64,84,4.0,broken clouds
141,Palmas,BR,-10.2128,-48.3603,84.2,70,40,6.91,scattered clouds
142,Caceres,ES,39.522,-6.3748,71.01,45,42,5.01,scattered clouds
143,Zeven,DE,53.3,9.2833,52.0,68,100,16.84,light rain
144,Carnarvon,AU,-24.8667,113.6333,78.8,83,0,4.61,clear sky
145,Belyy Yar,RU,53.6039,91.3903,33.8,86,100,2.24,smoke
146,Saint-Augustin,CA,51.226,-58.6502,21.38,57,52,5.86,broken clouds
